年代,作品,作者
1001,枕草子,清少納言
1008,源氏物語,紫式部
1212,方丈記,鴨長明
1219,平家物語,信濃前司行長
1331,徒然草,吉田兼好
1682,好色一代男,井原西鶴
1694,奧之細道,松尾芭蕉
1897,金色夜叉,尾崎紅葉
1902,亂髮,與謝野晶子
1902,怪談,小泉八雲
1906,我是貓,夏目漱石
1906,少爺,夏目漱石
1908,虞美人草,夏目漱石
1910,一握之沙,石川啄木
1915,羅生門,芥川龍之介
1915,日和下駄,永井荷風
1915,山椒大夫,森鷗外
1916,高瀨舟,森鷗外
1918,地獄變,芥川龍之介
1921,竹藪中,芥川龍之介
1926,伊豆的舞孃,川端康成
1929,蟹工船,小林喜多郎
1933,春琴抄,谷崎潤一郎
1934,銀河鐵道之夜,宮澤賢治
1935,雪國,川端康成
1937,暗夜行路,志賀直哉
1939,宮本武藏,吉川英治
1943,細雪,谷崎潤一郎
1944,津輕,太宰治
1948,人間失格,太宰治
1949,假面的告白,三島由紀夫
1953,風林火山,井上靖
1954,潮騷,三島由紀夫
1956,金閣寺,三島由紀夫
1959,飼育,大江健三郎
1961,砂之器,松本清張
1962,沙丘之女,安部公房
1962,古都,川端康成
1962,瘋癲老人日記,谷崎潤一郎
1965,白色巨塔,山崎豐子
1966,龍馬行,司馬遼太郎
1966,冰點,三浦綾子
1969,沈默,遠藤周作
1976,接近無限透明的藍,村上龍
1979,聽風的歌,村上春樹
1981,道頓堀川,宮本輝
1987,挪威的森林,村上春樹
1997,失樂園,渡邊淳一
2007,鹿男,萬城目學
2012,解憂雜貨店,東野圭吾